Provinsi,gabungan_pendudukmiskin,TPT,NEET_usiamuda,tenagakerjaformal,gabungan_HLS,gabungan_RLS,rasio_guru_SMA,rasio_guru_SMK,rasio_guru_SD,rasio_guru_SMP,rasio_sekolah_SMA,rasio_sekolah_SMK,rasio_sekolah_SD,rasio_sekolah_SMP,cluster,PC1,PC2
ACEH,14.056999999999999,14.510499999999999,27.094,38.784000000000006,14.434999999999999,9.594,0.10287693307040117,0.1286426606841133,0.10016458317248982,0.11775014680873377,0.003951453952181498,0.004028361371260861,0.007188414924282335,0.006284548581175395,2,4.367467328054682,0.7610557070117702
BALI,4.179,13.6155,9.692,47.194,13.591,9.423,0.062440981475265375,0.061822039465264954,0.06645522101414207,0.059183158453693006,0.0017461810811800643,0.001801634800529452,0.006286822586864199,0.002144776000823932,0,-3.5984339811190713,1.6220167289043073
BANTEN,6.058,13.1715,26.024,53.105999999999995,13.097,9.190000000000001,0.05625216759404507,0.05466039301811274,0.048053569033407975,0.05374215429379914,0.002713306671737025,0.002866667853865521,0.0038468847345333596,0.0035876319042705677,0,-3.2266829867903497,1.529541786058521
BENGKULU,13.672999999999998,14.0,21.308,33.07,13.89,9.029,0.07808368137410206,0.10272805508398428,0.08600986940996443,0.09694346172070342,0.0027360445816136786,0.003481369109845562,0.007176663599954444,0.00529499161803332,2,1.3614060911662917,0.45996504205962546
DI YOGYAKARTA,11.116,15.702000000000002,10.782,46.077999999999996,15.702000000000002,9.874,0.0695981642826227,0.07116164348968711,0.07478594016202413,0.06748339429999636,0.0028434971962520658,0.002307448505452496,0.006810773498497019,0.003425828068098305,0,-1.5162683847217124,1.5198221939231482
DKI JAKARTA,4.432,13.366,16.234,63.138,13.34,11.408,0.06282271687214626,0.05923516037159059,0.05205922522751827,0.0549754080605515,0.00265034248294013,0.0028457291586543067,0.0029761775162666136,0.003020709738866164,0,-3.60766190259576,2.22188911337973
GORONTALO,14.655000000000001,13.582999999999998,24.896,37.263999999999996,13.338,8.136,0.06479695349204498,0.10693593142205586,0.07896322180849254,0.10174060032862701,0.0022576172053773804,0.003576877890773042,0.008566636757799733,0.008062945441619406,2,1.7896325011120136,0.2540570387261034
JAMBI,7.468000000000001,13.322999999999999,21.610000000000003,40.532,13.219999999999999,8.784,0.07399022458274762,0.0895605423224123,0.07635238012098902,0.09544690637790132,0.00302416104512171,0.0036166312036567594,0.006694705602754716,0.005857004845708514,2,0.6108246012000149,0.7128832446728515
JAWA BARAT,7.598999999999999,12.8055,25.666000000000004,45.257999999999996,12.763,8.843,0.05212051169404093,0.054239739253695976,0.04756565825844507,0.05295060716799453,0.0021562748976541716,0.002704464596178071,0.00436332262743124,0.003241299242827142,0,-3.5458722605005892,1.1529670509567267
JAWA TENGAH,10.541,12.966999999999999,19.27,40.128,12.906,7.978,0.057562805057332175,0.05638856388724498,0.0650842884627438,0.05841765293422302,0.0019124446765562228,0.0018842660210866419,0.007138630549382944,0.002845026965914943,0,-2.8978600287644505,0.726918901495212
JAWA TIMUR,10.171000000000001,13.516499999999999,19.23,37.434000000000005,13.438999999999998,8.146,0.06259036056203142,0.06218420236586365,0.07208556772887653,0.06531844079370026,0.002766125171629424,0.0027250330280123784,0.0074482416615234,0.004042617487978605,0,-1.4763651576403638,0.5270047824243526
KALIMANTAN BARAT,6.565,12.905000000000001,22.698,41.652,12.818000000000001,7.698,0.06333032721502614,0.06127859740813375,0.07114718628322086,0.07274793897732641,0.003519259675998114,0.0029801260365118322,0.007902067732975814,0.0059176029072701706,0,-0.5943160933743705,0.45216430477731906
KALIMANTAN SELATAN,4.277,12.975999999999999,20.512,44.156,12.922,8.556999999999999,0.07324177393800728,0.07169642955178823,0.08474875070208729,0.08357413018509204,0.0030219812042154006,0.002199380379989695,0.008237677167772774,0.00553199979563567,0,-0.16851854637175206,1.2168130215550654
KALIMANTAN TENGAH,5.16,12.772499999999999,23.528,48.332,12.805000000000001,8.776,0.08218910866880566,0.09302352698187107,0.09423254279076684,0.09704197375640734,0.0039255766227785744,0.004096481335137966,0.009585368724079472,0.008099542925178968,2,2.7104572779079117,0.8408800536476668
